2025-01-09 18:35:18,health 🦾,Растяжка,2,1
2025-01-09 19:48:23,health 🦾,Растяжка,2,1
2025-01-09 21:31:36,studing 📚,Английский,5.5,11
2025-01-13 09:25:49,health 🦾,Растяжка,2,1,
2025-01-13 11:07:16,health 🦾,Растяжка,2,1,
2025-01-13 11:32:07,health 🦾,Завтрак + витамины,3,1,
2025-01-13 14:25:09,studing 📚,DS/Math/Dev мин. обучения,3.0,15,
2025-01-13 16:09:44,studing 📚,Английский,2.5,5,
2025-01-13 16:13:51,health 🦾,Растяжка,2,1,
2025-01-13 17:51:09,studing 📚,DS/Math/Dev мин. обучения,10.0,50,
2025-01-13 18:19:11,studing 📚,DS/Math/Dev мин. обучения,6.0,30,
2025-01-14 00:17:03,social ❤️,Мышление,11.25,45,
2025-01-14 00:41:16,health 🦾,Растяжка,2,1,
2025-01-14 11:04:48,health 🦾,Растяжка,2,1,
2025-01-14 11:27:11,health 🦾,Завтрак + витамины,3,1,
2025-01-14 11:28:16,studing 📚,Английский,5.0,10,
2025-01-14 16:22:13,studing 📚,DS/Math/Dev мин. обучения,9.0,45,
2025-01-14 20:23:13,health 🦾,Тренировка,20,1,
2025-01-14 22:09:40,studing 📚,DS/Math/Dev мин. обучения,9.0,45,
2025-01-14 23:10:54,studing 📚,Английский,10.0,20,
2025-01-14 23:17:50,social ❤️,Мышление,0.25,1,
2025-01-15 09:50:33,studing 📚,DS/Math/Dev мин. обучения,7.0,35,
2025-01-15 10:54:13,health 🦾,Растяжка,2,1,
2025-01-15 11:34:08,health 🦾,Завтрак + витамины,3,1,
2025-01-15 18:04:50,studing 📚,DS/Math/Dev мин. обучения,12.0,60,
